代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),涨跌幅(%)
510300.SH,华泰柏瑞沪深300ETF,2016/1/4,3.4506,3.4506,3.224,3.2304,-6.432
510300.SH,华泰柏瑞沪深300ETF,2016/1/5,3.1682,3.2697,3.1335,3.223,-0.2263
510300.SH,华泰柏瑞沪深300ETF,2016/1/6,3.2212,3.2824,3.2167,3.2733,1.5594
510300.SH,华泰柏瑞沪深300ETF,2016/1/7,3.234,3.234,3.1097,3.1838,-2.7359
510300.SH,华泰柏瑞沪深300ETF,2016/1/8,3.1847,3.1847,3.0065,3.1143,-2.1814
510300.SH,华泰柏瑞沪深300ETF,2016/1/11,3.0567,3.0951,2.9516,2.9544,-5.135
510300.SH,华泰柏瑞沪深300ETF,2016/1/12,2.9791,3.011,2.9434,2.9754,0.7114
510300.SH,华泰柏瑞沪深300ETF,2016/1/13,3.0001,3.0165,2.9151,2.9343,-1.3821
510300.SH,华泰柏瑞沪深300ETF,2016/1/14,2.8648,2.99,2.8584,2.9836,1.6817
510300.SH,华泰柏瑞沪深300ETF,2016/1/15,2.9654,2.9781,2.8749,2.8959,-2.9403
510300.SH,华泰柏瑞沪深300ETF,2016/1/18,2.8593,2.9306,2.8511,2.8977,0.0631
510300.SH,华泰柏瑞沪深300ETF,2016/1/19,2.8968,2.9928,2.8858,2.9809,2.8698
510300.SH,华泰柏瑞沪深300ETF,2016/1/20,2.9707,2.9855,2.9196,2.9419,-1.308
510300.SH,华泰柏瑞沪深300ETF,2016/1/21,2.9131,2.9697,2.8509,2.8574,-2.8716
510300.SH,华泰柏瑞沪深300ETF,2016/1/22,2.889,2.9057,2.8314,2.8853,0.9747
510300.SH,华泰柏瑞沪深300ETF,2016/1/25,2.9113,2.9205,2.8704,2.8964,0.3861
510300.SH,华泰柏瑞沪深300ETF,2016/1/26,2.8546,2.8806,2.72,2.733,-5.641
510300.SH,华泰柏瑞沪深300ETF,2016/1/27,2.7386,2.7664,2.6346,2.7033,-1.087
510300.SH,华泰柏瑞沪深300ETF,2016/1/28,2.6912,2.7228,2.6318,2.6448,-2.1635
510300.SH,华泰柏瑞沪深300ETF,2016/1/29,2.6458,2.7488,2.642,2.72,2.8431
510300.SH,华泰柏瑞沪深300ETF,2016/2/1,2.7182,2.7274,2.655,2.6903,-1.0922
510300.SH,华泰柏瑞沪深300ETF,2016/2/2,2.6847,2.7534,2.6847,2.7479,2.1394
510300.SH,华泰柏瑞沪深300ETF,2016/2/3,2.72,2.7404,2.694,2.7349,-0.473
510300.SH,华泰柏瑞沪深300ETF,2016/2/4,2.7432,2.7794,2.7404,2.7711,1.3238
510300.SH,华泰柏瑞沪深300ETF,2016/2/5,2.7692,2.7692,2.7367,2.7386,-1.1725
510300.SH,华泰柏瑞沪深300ETF,2016/2/15,2.6912,2.7423,2.6782,2.7284,-0.3729
510300.SH,华泰柏瑞沪深300ETF,2016/2/16,2.7395,2.8147,2.7386,2.8054,2.8241
510300.SH,华泰柏瑞沪深300ETF,2016/2/17,2.8064,2.8388,2.7989,2.8342,1.0258
510300.SH,华泰柏瑞沪深300ETF,2016/2/18,2.8546,2.8686,2.824,2.8305,-0.131
510300.SH,华泰柏瑞沪深300ETF,2016/2/19,2.8286,2.8463,2.8082,2.8231,-0.2624
510300.SH,华泰柏瑞沪深300ETF,2016/2/22,2.8667,2.8927,2.8426,2.8816,2.0717
510300.SH,华泰柏瑞沪深300ETF,2016/2/23,2.8797,2.8834,2.8333,2.8593,-0.7732
510300.SH,华泰柏瑞沪深300ETF,2016/2/24,2.8518,2.8843,2.8249,2.8806,0.7468
510300.SH,华泰柏瑞沪深300ETF,2016/2/25,2.876,2.876,2.6782,2.6968,-6.3809
510300.SH,华泰柏瑞沪深300ETF,2016/2/26,2.7163,2.7432,2.6912,2.7228,0.9639
510300.SH,华泰柏瑞沪深300ETF,2016/2/29,2.7117,2.7191,2.6096,2.6588,-2.3525
510300.SH,华泰柏瑞沪深300ETF,2016/3/1,2.6653,2.7293,2.6086,2.7089,1.8855
510300.SH,华泰柏瑞沪深300ETF,2016/3/2,2.7117,2.837,2.7117,2.8305,4.4894
510300.SH,华泰柏瑞沪深300ETF,2016/3/3,2.8296,2.8648,2.8156,2.824,-0.2296
510300.SH,华泰柏瑞沪深300ETF,2016/3/4,2.8221,2.8732,2.8045,2.8583,1.2163
510300.SH,华泰柏瑞沪深300ETF,2016/3/7,2.8704,2.9503,2.85,2.8806,0.7795
510300.SH,华泰柏瑞沪深300ETF,2016/3/8,2.8648,2.8741,2.7841,2.8704,-0.3545
510300.SH,华泰柏瑞沪深300ETF,2016/3/9,2.8249,2.8342,2.7906,2.8277,-1.4877
510300.SH,华泰柏瑞沪深300ETF,2016/3/10,2.824,2.85,2.7859,2.7896,-1.346
510300.SH,华泰柏瑞沪深300ETF,2016/3/11,2.7664,2.8017,2.7469,2.7841,-0.1997
510300.SH,华泰柏瑞沪深300ETF,2016/3/14,2.8101,2.8825,2.8101,2.8444,2.1674
510300.SH,华泰柏瑞沪深300ETF,2016/3/15,2.8388,2.8453,2.8017,2.8351,-0.3264
510300.SH,华泰柏瑞沪深300ETF,2016/3/16,2.8231,2.8769,2.8231,2.8537,0.6549
510300.SH,华泰柏瑞沪深300ETF,2016/3/17,2.8574,2.9243,2.8435,2.9001,1.6265
510300.SH,华泰柏瑞沪深300ETF,2016/3/18,2.901,2.9688,2.9001,2.941,1.4085
510300.SH,华泰柏瑞沪深300ETF,2016/3/21,2.9623,3.0282,2.9623,3.006,2.2096
510300.SH,华泰柏瑞沪深300ETF,2016/3/22,2.9874,3.0078,2.9809,2.9855,-0.6794
510300.SH,华泰柏瑞沪深300ETF,2016/3/23,2.9827,3.006,2.9614,2.9911,0.1866
510300.SH,华泰柏瑞沪深300ETF,2016/3/24,2.9716,2.9818,2.9428,2.9447,-1.5518
510300.SH,华泰柏瑞沪深300ETF,2016/3/25,2.9465,2.9707,2.9382,2.9567,0.4098
510300.SH,华泰柏瑞沪深300ETF,2016/3/28,2.9679,2.9957,2.9243,2.9289,-0.9419
510300.SH,华泰柏瑞沪深300ETF,2016/3/29,2.9317,2.941,2.8881,2.9048,-0.8241
510300.SH,华泰柏瑞沪深300ETF,2016/3/30,2.9233,2.9874,2.9233,2.9846,2.7485
510300.SH,华泰柏瑞沪深300ETF,2016/3/31,2.9939,3.0004,2.9651,2.979,-0.1866
510300.SH,华泰柏瑞沪深300ETF,2016/4/1,2.9707,2.9892,2.927,2.9883,0.3116
510300.SH,华泰柏瑞沪深300ETF,2016/4/5,2.9744,3.0347,2.967,3.0171,0.963
510300.SH,华泰柏瑞沪深300ETF,2016/4/6,3.005,3.0227,3.0004,3.0115,-0.1846
510300.SH,华泰柏瑞沪深300ETF,2016/4/7,3.0199,3.0301,2.967,2.9744,-1.233
510300.SH,华泰柏瑞沪深300ETF,2016/4/8,2.9521,2.9744,2.9243,2.9493,-0.8427
510300.SH,华泰柏瑞沪深300ETF,2016/4/11,2.9735,3.0152,2.9735,2.9818,1.1017
510300.SH,华泰柏瑞沪深300ETF,2016/4/12,2.9827,2.9883,2.9595,2.9781,-0.1245
510300.SH,华泰柏瑞沪深300ETF,2016/4/13,2.9948,3.0542,2.9948,3.0162,1.2781
510300.SH,华泰柏瑞沪深300ETF,2016/4/14,3.0282,3.0403,3.0087,3.0273,0.3693
510300.SH,华泰柏瑞沪深300ETF,2016/4/15,3.0338,3.0394,3.0171,3.0301,0.092
510300.SH,华泰柏瑞沪深300ETF,2016/4/18,3.0097,3.0097,2.98,2.9874,-1.4093
510300.SH,华泰柏瑞沪深300ETF,2016/4/19,2.9976,3.0124,2.979,2.9911,0.1243
510300.SH,华泰柏瑞沪深300ETF,2016/4/20,3.0032,3.006,2.8686,2.9391,-1.7381
510300.SH,华泰柏瑞沪深300ETF,2016/4/21,2.9215,2.966,2.9113,2.9252,-0.4738
510300.SH,华泰柏瑞沪深300ETF,2016/4/22,2.9159,2.9419,2.9057,2.9382,0.4443
510300.SH,华泰柏瑞沪深300ETF,2016/4/25,2.9363,2.9363,2.8881,2.9289,-0.316
510300.SH,华泰柏瑞沪深300ETF,2016/4/26,2.927,2.9503,2.9131,2.9456,0.5705
510300.SH,华泰柏瑞沪深300ETF,2016/4/27,2.9456,2.9512,2.9243,2.9317,-0.4727
510300.SH,华泰柏瑞沪深300ETF,2016/4/28,2.9326,2.9391,2.9038,2.9298,-0.0633
